parameter_id,group,name_en,name_ko,unit_or_representation,dependencies,priority,required_by,acquisition_method_en,public_availability_en,source_ids,caution_ko,target_cell_value,uncertainty,state
capacity_fade,aging,Capacity retention at matched reference conditions,동일 기준 조건의 용량 유지율,1,age,P1,degradation,"Calendar/cycle matrices, reference tests, differential voltage, post-mortem and independent diagnostics",Many capacity curves; mechanism-resolved coefficient identification remains incomplete,S04;S08;S09;S11;S25,사이클·달력 열화와 LLI·LAM 등 상태를 중복 계산하지 않는다.,,,requirement_not_collected_value
resistance_growth,aging,Reference resistance and impedance growth,기준 저항·임피던스 증가,ohm,age;SOC;T,P1,degradation,"Calendar/cycle matrices, reference tests, differential voltage, post-mortem and independent diagnostics",Many capacity curves; mechanism-resolved coefficient identification remains incomplete,S04;S08;S09;S11;S25,사이클·달력 열화와 LLI·LAM 등 상태를 중복 계산하지 않는다.,,,requirement_not_collected_value
lli,aging,Loss of cyclable lithium inventory,순환 가능한 리튬 재고 손실,mol or fraction,age;history,P1,degradation,"Calendar/cycle matrices, reference tests, differential voltage, post-mortem and independent diagnostics",Many capacity curves; mechanism-resolved coefficient identification remains incomplete,S04;S08;S09;S11;S25,사이클·달력 열화와 LLI·LAM 등 상태를 중복 계산하지 않는다.,,,requirement_not_collected_value
lam_negative,aging,Loss of negative active material,음극 활물질 손실,fraction,age;stress,P1,degradation,"Calendar/cycle matrices, reference tests, differential voltage, post-mortem and independent diagnostics",Many capacity curves; mechanism-resolved coefficient identification remains incomplete,S04;S08;S09;S11;S25,사이클·달력 열화와 LLI·LAM 등 상태를 중복 계산하지 않는다.,,,requirement_not_collected_value
lam_positive,aging,Loss of positive active material,양극 활물질 손실,fraction,age;stress,P1,degradation,"Calendar/cycle matrices, reference tests, differential voltage, post-mortem and independent diagnostics",Many capacity curves; mechanism-resolved coefficient identification remains incomplete,S04;S08;S09;S11;S25,사이클·달력 열화와 LLI·LAM 등 상태를 중복 계산하지 않는다.,,,requirement_not_collected_value
sei_thickness,aging,SEI thickness and initial condition,SEI 두께와 초기 상태,m,time;T;potential,P1,degradation,"Calendar/cycle matrices, reference tests, differential voltage, post-mortem and independent diagnostics",Many capacity curves; mechanism-resolved coefficient identification remains incomplete,S04;S08;S09;S11;S25,사이클·달력 열화와 LLI·LAM 등 상태를 중복 계산하지 않는다.,,,requirement_not_collected_value
sei_kinetics,aging,SEI transport reaction and resistance coefficients,SEI 수송·반응·저항 계수,model-defined,T;potential;age,P1,degradation,"Calendar/cycle matrices, reference tests, differential voltage, post-mortem and independent diagnostics",Many capacity curves; mechanism-resolved coefficient identification remains incomplete,S04;S08;S09;S11;S25,사이클·달력 열화와 LLI·LAM 등 상태를 중복 계산하지 않는다.,,,requirement_not_collected_value
plating_inventory,aging,Plated lithium and dead-lithium inventory,석출 리튬과 비활성 리튬 재고량,mol,time;T;potential,P1,degradation,"Calendar/cycle matrices, reference tests, differential voltage, post-mortem and independent diagnostics",Many capacity curves; mechanism-resolved coefficient identification remains incomplete,S04;S08;S09;S11;S25,사이클·달력 열화와 LLI·LAM 등 상태를 중복 계산하지 않는다.,,,requirement_not_collected_value
plating_stripping_kinetics,aging,Lithium plating and stripping kinetics,리튬 석출·박리 속도 법칙,model-defined,T;potential,P1,degradation,"Calendar/cycle matrices, reference tests, differential voltage, post-mortem and independent diagnostics",Many capacity curves; mechanism-resolved coefficient identification remains incomplete,S04;S08;S09;S11;S25,사이클·달력 열화와 LLI·LAM 등 상태를 중복 계산하지 않는다.,,,requirement_not_collected_value
porosity_evolution,aging,Porosity and tortuosity evolution,기공률과 굴곡도 변화,fraction,age,P1,degradation,"Calendar/cycle matrices, reference tests, differential voltage, post-mortem and independent diagnostics",Many capacity curves; mechanism-resolved coefficient identification remains incomplete,S04;S08;S09;S11;S25,사이클·달력 열화와 LLI·LAM 등 상태를 중복 계산하지 않는다.,,,requirement_not_collected_value
crack_surface_evolution,aging,Particle cracking and new surface area,입자 균열과 신생 표면적,m2,stress;cycles,P1,degradation,"Calendar/cycle matrices, reference tests, differential voltage, post-mortem and independent diagnostics",Many capacity curves; mechanism-resolved coefficient identification remains incomplete,S04;S08;S09;S11;S25,사이클·달력 열화와 LLI·LAM 등 상태를 중복 계산하지 않는다.,,,requirement_not_collected_value
electrolyte_loss,aging,Electrolyte consumption and dry-out,전해질 소모와 건조,mol;kg,time;T,P1,degradation,"Calendar/cycle matrices, reference tests, differential voltage, post-mortem and independent diagnostics",Many capacity curves; mechanism-resolved coefficient identification remains incomplete,S04;S08;S09;S11;S25,사이클·달력 열화와 LLI·LAM 등 상태를 중복 계산하지 않는다.,,,requirement_not_collected_value
formation_gas,aging,Gas generation and formation-related loss,가스 발생과 화성 관련 손실,mol,history;T,P1,degradation,"Calendar/cycle matrices, reference tests, differential voltage, post-mortem and independent diagnostics",Many capacity curves; mechanism-resolved coefficient identification remains incomplete,S04;S08;S09;S11;S25,사이클·달력 열화와 LLI·LAM 등 상태를 중복 계산하지 않는다.,,,requirement_not_collected_value
differential_features,aging,dQ/dV and dV/dQ with smoothing provenance,평활화 이력이 있는 dQ/dV·dV/dQ,Ah V-1;V Ah-1,protocol;age,P1,degradation,"Calendar/cycle matrices, reference tests, differential voltage, post-mortem and independent diagnostics",Many capacity curves; mechanism-resolved coefficient identification remains incomplete,S04;S08;S09;S11;S25,사이클·달력 열화와 LLI·LAM 등 상태를 중복 계산하지 않는다.,,,requirement_not_collected_value
elastic_constants,mechanics,Elastic constants with anisotropy,이방성을 포함한 탄성 상수,Pa,SOC;T;phase,P2,chemo_mechanics,"Dilatometry, fixture load measurements, tomography and constitutive characterization",Fixture and constitutive data rarely match electrochemical parameter sets,S13;S15;S24,구속·압력·재구성 조건을 명시한다.,,,requirement_not_collected_value
poisson_ratio,mechanics,Poisson ratio,푸아송비,1,SOC;T,P2,chemo_mechanics,"Dilatometry, fixture load measurements, tomography and constitutive characterization",Fixture and constitutive data rarely match electrochemical parameter sets,S13;S15;S24,구속·압력·재구성 조건을 명시한다.,,,requirement_not_collected_value
partial_molar_volume,mechanics,Partial molar volume or chemical expansion law,부분 몰 체적·화학 팽창 법칙,m3 mol-1,composition,P2,chemo_mechanics,"Dilatometry, fixture load measurements, tomography and constitutive characterization",Fixture and constitutive data rarely match electrochemical parameter sets,S13;S15;S24,구속·압력·재구성 조건을 명시한다.,,,requirement_not_collected_value
reversible_expansion,mechanics,Reversible cell thickness or radius change,가역 셀 두께·반경 변화,m,SOC;pressure;T,P2,chemo_mechanics,"Dilatometry, fixture load measurements, tomography and constitutive characterization",Fixture and constitutive data rarely match electrochemical parameter sets,S13;S15;S24,구속·압력·재구성 조건을 명시한다.,,,requirement_not_collected_value
irreversible_swelling,mechanics,Irreversible swelling and creep,비가역 팽창과 크리프,m,age;pressure;T,P2,chemo_mechanics,"Dilatometry, fixture load measurements, tomography and constitutive characterization",Fixture and constitutive data rarely match electrochemical parameter sets,S13;S15;S24,구속·압력·재구성 조건을 명시한다.,,,requirement_not_collected_value
fixture_stiffness,mechanics,Fixture stiffness and imposed pressure,지그 강성과 인가 압력,N m-1;Pa,fixture,P2,chemo_mechanics,"Dilatometry, fixture load measurements, tomography and constitutive characterization",Fixture and constitutive data rarely match electrochemical parameter sets,S13;S15;S24,구속·압력·재구성 조건을 명시한다.,,,requirement_not_collected_value
fracture_law,mechanics,Fracture toughness and damage law,파괴 인성과 손상 법칙,model-defined,phase;T,P2,chemo_mechanics,"Dilatometry, fixture load measurements, tomography and constitutive characterization",Fixture and constitutive data rarely match electrochemical parameter sets,S13;S15;S24,구속·압력·재구성 조건을 명시한다.,,,requirement_not_collected_value
separator_mechanics,mechanics,Separator constitutive and failure behavior,분리막 구성·파손 거동,model-defined,T;strain_rate,P2,chemo_mechanics,"Dilatometry, fixture load measurements, tomography and constitutive characterization",Fixture and constitutive data rarely match electrochemical parameter sets,S13;S15;S24,구속·압력·재구성 조건을 명시한다.,,,requirement_not_collected_value
reaction_network,failure,Decomposition species and reaction network,분해 반응종과 반응 네트워크,reaction-list,chemistry;SOC,P2,abuse_model,Qualified laboratory failure data and source-specific calorimetric characterization,Useful failure-energy data; full reaction networks and pack propagation less public,S13;S14,정상 작동 모델과 안전·파손 모델의 유효 범위를 구분한다.,,,requirement_not_collected_value
reaction_kinetics,failure,Conditional kinetic prefactors and activation energies,조건별 반응 전지수 인자와 활성화 에너지,model-defined,chemistry;SOC;T,P2,abuse_model,Qualified laboratory failure data and source-specific calorimetric characterization,Useful failure-energy data; full reaction networks and pack propagation less public,S13;S14,정상 작동 모델과 안전·파손 모델의 유효 범위를 구분한다.,,,requirement_not_collected_value
reaction_enthalpy,failure,Decomposition reaction enthalpies,분해 반응 엔탈피,J kg-1 or J mol-1,reaction,P2,abuse_model,Qualified laboratory failure data and source-specific calorimetric characterization,Useful failure-energy data; full reaction networks and pack propagation less public,S13;S14,정상 작동 모델과 안전·파손 모델의 유효 범위를 구분한다.,,,requirement_not_collected_value
failure_heat_partition,failure,Body and ejecta energy partition,몸체·분출물 에너지 분배,J;fraction,cell;trigger;SOC,P2,abuse_model,Qualified laboratory failure data and source-specific calorimetric characterization,Useful failure-energy data; full reaction networks and pack propagation less public,S13;S14,정상 작동 모델과 안전·파손 모델의 유효 범위를 구분한다.,,,requirement_not_collected_value
failure_mass_partition,failure,Retained and ejected mass,잔류·분출 질량,kg,cell;trigger;SOC,P2,abuse_model,Qualified laboratory failure data and source-specific calorimetric characterization,Useful failure-energy data; full reaction networks and pack propagation less public,S13;S14,정상 작동 모델과 안전·파손 모델의 유효 범위를 구분한다.,,,requirement_not_collected_value
vent_boundary,failure,Vent opening flow and pressure boundary data,벤트 개방·유동·압력 경계 자료,Pa;kg s-1,time;cell,P2,abuse_model,Qualified laboratory failure data and source-specific calorimetric characterization,Useful failure-energy data; full reaction networks and pack propagation less public,S13;S14,정상 작동 모델과 안전·파손 모델의 유효 범위를 구분한다.,,,requirement_not_collected_value
short_resistance,failure,Conditional internal-short equivalent resistance,조건별 내부 단락 등가 저항,ohm,damage;T,P2,abuse_model,Qualified laboratory failure data and source-specific calorimetric characterization,Useful failure-energy data; full reaction networks and pack propagation less public,S13;S14,정상 작동 모델과 안전·파손 모델의 유효 범위를 구분한다.,,,requirement_not_collected_value
propagation_observations,failure,Module propagation and barrier observations,모듈 전파와 차단재 관측,time;K,geometry;SOC,P2,abuse_model,Qualified laboratory failure data and source-specific calorimetric characterization,Useful failure-energy data; full reaction networks and pack propagation less public,S13;S14,정상 작동 모델과 안전·파손 모델의 유효 범위를 구분한다.,,,requirement_not_collected_value
network_topology,pack,Electrical node-edge topology and Ns/Np,전기 노드·엣지 토폴로지와 Ns/Np,graph,configuration,P1,pack;BMS,"Topology documentation, contact characterization, coolant measurements and synchronized module telemetry",OEM topology/control/cooling CAD often unavailable,S03;S11;S20,단일 셀 복제로 대신하지 말고 분산과 상관관계를 유지한다.,,,requirement_not_collected_value
interconnect_resistance,pack,Busbar weld contactor and fuse resistance,버스바·용접·컨택터·퓨즈 저항,ohm,T;age,P1,pack;BMS,"Topology documentation, contact characterization, coolant measurements and synchronized module telemetry",OEM topology/control/cooling CAD often unavailable,S03;S11;S20,단일 셀 복제로 대신하지 말고 분산과 상관관계를 유지한다.,,,requirement_not_collected_value
cell_population,pack,Joint distribution of cell properties,셀 물성의 결합 분포,distribution,batch;age;position,P1,pack;BMS,"Topology documentation, contact characterization, coolant measurements and synchronized module telemetry",OEM topology/control/cooling CAD often unavailable,S03;S11;S20,단일 셀 복제로 대신하지 말고 분산과 상관관계를 유지한다.,,,requirement_not_collected_value
initial_state_population,pack,Initial SOC and temperature correlations,초기 SOC·온도 상관관계,distribution,cell;position,P1,pack;BMS,"Topology documentation, contact characterization, coolant measurements and synchronized module telemetry",OEM topology/control/cooling CAD often unavailable,S03;S11;S20,단일 셀 복제로 대신하지 말고 분산과 상관관계를 유지한다.,,,requirement_not_collected_value
cooling_network,pack,Cooling plates channels and thermal contacts,냉각판·유로·열 접촉망,geometry;network,pack,P1,pack;BMS,"Topology documentation, contact characterization, coolant measurements and synchronized module telemetry",OEM topology/control/cooling CAD often unavailable,S03;S11;S20,단일 셀 복제로 대신하지 말고 분산과 상관관계를 유지한다.,,,requirement_not_collected_value
balancing_logic,pack,Balancing thresholds currents and schedules,밸런싱 임계값·전류·스케줄,A;V;protocol,SOC;T,P1,pack;BMS,"Topology documentation, contact characterization, coolant measurements and synchronized module telemetry",OEM topology/control/cooling CAD often unavailable,S03;S11;S20,단일 셀 복제로 대신하지 말고 분산과 상관관계를 유지한다.,,,requirement_not_collected_value
bms_limits,pack,BMS charge discharge and protection limits,BMS 충방전·보호 한계,V;A;K,SOC;SOH;T,P1,pack;BMS,"Topology documentation, contact characterization, coolant measurements and synchronized module telemetry",OEM topology/control/cooling CAD often unavailable,S03;S11;S20,단일 셀 복제로 대신하지 말고 분산과 상관관계를 유지한다.,,,requirement_not_collected_value
sensor_model,pack,Sensor placement delay quantization and drift,센서 위치·지연·양자화·드리프트,SI-noise-model,sensor;T,P1,pack;BMS,"Topology documentation, contact characterization, coolant measurements and synchronized module telemetry",OEM topology/control/cooling CAD often unavailable,S03;S11;S20,단일 셀 복제로 대신하지 말고 분산과 상관관계를 유지한다.,,,requirement_not_collected_value
bms_estimator_output,pack,BMS SOC/SOH estimates and uncertainty,BMS SOC·SOH 추정과 불확실성,1,time;algorithm,P1,pack;BMS,"Topology documentation, contact characterization, coolant measurements and synchronized module telemetry",OEM topology/control/cooling CAD often unavailable,S03;S11;S20,단일 셀 복제로 대신하지 말고 분산과 상관관계를 유지한다.,,,requirement_not_collected_value
pack_validation,pack,Synchronized branch cell and pack telemetry,동기화된 분기·셀·팩 계측,A;V;K,time,P1,pack;BMS,"Topology documentation, contact characterization, coolant measurements and synchronized module telemetry",OEM topology/control/cooling CAD often unavailable,S03;S11;S20,단일 셀 복제로 대신하지 말고 분산과 상관관계를 유지한다.,,,requirement_not_collected_value
drive_speed,vehicle,Prescribed or measured vehicle speed,규정·실측 차량 속도,m s-1,time,P1,vehicle_boundary,Vehicle specification and synchronized vehicle/pack logs; prescribed speed schedules,Drive schedules public; efficiency maps and OEM controllers often not public,S17;S18,속도 프로파일을 전류 실측 데이터로 취급하지 않는다.,,,requirement_not_collected_value
road_grade,vehicle,Road gradient and elevation,도로 경사와 고도,rad;m,position,P1,vehicle_boundary,Vehicle specification and synchronized vehicle/pack logs; prescribed speed schedules,Drive schedules public; efficiency maps and OEM controllers often not public,S17;S18,속도 프로파일을 전류 실측 데이터로 취급하지 않는다.,,,requirement_not_collected_value
vehicle_mass,vehicle,Vehicle payload and equivalent rotating mass,차량 적재·등가 회전 질량,kg,configuration,P1,vehicle_boundary,Vehicle specification and synchronized vehicle/pack logs; prescribed speed schedules,Drive schedules public; efficiency maps and OEM controllers often not public,S17;S18,속도 프로파일을 전류 실측 데이터로 취급하지 않는다.,,,requirement_not_collected_value
aerodynamic_terms,vehicle,Drag coefficient and frontal area,항력 계수와 전면적,1;m2,speed;configuration,P1,vehicle_boundary,Vehicle specification and synchronized vehicle/pack logs; prescribed speed schedules,Drive schedules public; efficiency maps and OEM controllers often not public,S17;S18,속도 프로파일을 전류 실측 데이터로 취급하지 않는다.,,,requirement_not_collected_value
rolling_resistance,vehicle,Rolling resistance relation,구름 저항 관계,1,speed;T;load,P1,vehicle_boundary,Vehicle specification and synchronized vehicle/pack logs; prescribed speed schedules,Drive schedules public; efficiency maps and OEM controllers often not public,S17;S18,속도 프로파일을 전류 실측 데이터로 취급하지 않는다.,,,requirement_not_collected_value
drivetrain_efficiency,vehicle,Motor inverter gearbox efficiency maps,모터·인버터·기어박스 효율 맵,1,torque;speed;T,P1,vehicle_boundary,Vehicle specification and synchronized vehicle/pack logs; prescribed speed schedules,Drive schedules public; efficiency maps and OEM controllers often not public,S17;S18,속도 프로파일을 전류 실측 데이터로 취급하지 않는다.,,,requirement_not_collected_value
auxiliary_power,vehicle,HVAC pumps and auxiliary loads,공조·펌프·보조 부하,W,time;T,P1,vehicle_boundary,Vehicle specification and synchronized vehicle/pack logs; prescribed speed schedules,Drive schedules public; efficiency maps and OEM controllers often not public,S17;S18,속도 프로파일을 전류 실측 데이터로 취급하지 않는다.,,,requirement_not_collected_value
regen_control,vehicle,Regenerative braking and charge acceptance,회생 제동과 충전 수용 제어,W;A,SOC;T;speed,P1,vehicle_boundary,Vehicle specification and synchronized vehicle/pack logs; prescribed speed schedules,Drive schedules public; efficiency maps and OEM controllers often not public,S17;S18,속도 프로파일을 전류 실측 데이터로 취급하지 않는다.,,,requirement_not_collected_value
sampling_clock,quality,Sampling rate timestamps and clock resets,샘플링·시간표·시계 초기화,Hz;s,segment,P0,all,"Instrument specifications, calibration records and data provenance",Usually incomplete; unknown uncertainty must stay null,S07;S08;S10;S25,정밀한 소수점이 높은 정확도를 뜻하지 않는다.,,,requirement_not_collected_value
instrument_accuracy,quality,Instrument error and full-scale specification,계측 오차와 풀스케일 사양,source-defined,channel;range,P0,all,"Instrument specifications, calibration records and data provenance",Usually incomplete; unknown uncertainty must stay null,S07;S08;S10;S25,정밀한 소수점이 높은 정확도를 뜻하지 않는다.,,,requirement_not_collected_value
sensor_location,quality,Sensor location attachment and thermal lag,센서 위치·부착·열 지연,m;s,sensor,P0,all,"Instrument specifications, calibration records and data provenance",Usually incomplete; unknown uncertainty must stay null,S07;S08;S10;S25,정밀한 소수점이 높은 정확도를 뜻하지 않는다.,,,requirement_not_collected_value
uncertainty_covariance,quality,Parameter uncertainty and covariance,물성 불확실성과 공분산,distribution,parameter_set,P0,all,"Instrument specifications, calibration records and data provenance",Usually incomplete; unknown uncertainty must stay null,S07;S08;S10;S25,정밀한 소수점이 높은 정확도를 뜻하지 않는다.,,,requirement_not_collected_value
provenance_hash,quality,Source version license and content hashes,출처 버전·라이선스·내용 해시,text,artifact,P0,all,"Instrument specifications, calibration records and data provenance",Usually incomplete; unknown uncertainty must stay null,S07;S08;S10;S25,정밀한 소수점이 높은 정확도를 뜻하지 않는다.,,,requirement_not_collected_value
evidence_type,quality,Measured fitted borrowed synthetic or estimated label,실측·적합·차용·합성·추정 구분,enum,field,P0,all,"Instrument specifications, calibration records and data provenance",Usually incomplete; unknown uncertainty must stay null,S07;S08;S10;S25,정밀한 소수점이 높은 정확도를 뜻하지 않는다.,,,requirement_not_collected_value
validity_domain,quality,Validated domain and extrapolation policy,검증 영역과 외삽 정책,domain,model;data,P0,all,"Instrument specifications, calibration records and data provenance",Usually incomplete; unknown uncertainty must stay null,S07;S08;S10;S25,정밀한 소수점이 높은 정확도를 뜻하지 않는다.,,,requirement_not_collected_value
missing_data_policy,quality,Missingness duplicate and resampling policy,결측·중복·재표본화 정책,protocol,channel,P0,all,"Instrument specifications, calibration records and data provenance",Usually incomplete; unknown uncertainty must stay null,S07;S08;S10;S25,정밀한 소수점이 높은 정확도를 뜻하지 않는다.,,,requirement_not_collected_value
split_group,quality,Cell batch study and temporal holdout keys,셀·배치·연구·시간 홀드아웃 키,text,experiment,P0,all,"Instrument specifications, calibration records and data provenance",Usually incomplete; unknown uncertainty must stay null,S07;S08;S10;S25,정밀한 소수점이 높은 정확도를 뜻하지 않는다.,,,requirement_not_collected_value
